Date,stock,oil,bond,dollar,gold
2019-01-18,2670.71,41.03,120.453125,96.364,1282.11
2019-01-21,,41.18,,96.32,1280.47
2019-01-22,2632.9,40.39,120.796875,96.302,1285.22
2019-01-23,2638.7,39.99,120.796875,96.115,1282.72
2019-01-24,2642.33,40.12,121.015625,96.567,1281.21
2019-01-25,2664.76,40.33,120.625,95.813,1305.25
2019-01-28,2643.85,39.4,120.78125,95.76,1303.36
2019-01-29,2640.0,40.13,121.078125,95.807,1311.79
2019-01-30,2681.05,40.49,121.4375,95.414,1319.91
2019-01-31,2704.1,40.59,121.765625,95.558,1321.25
2019-02-01,2706.53,41.7,121.296875,95.616,1317.98
2019-02-04,2724.87,41.65,121.015625,95.834,1312.25
2019-02-05,2737.7,41.18,121.1875,96.074,1315.32
2019-02-06,2731.61,41.47,121.25,96.384,1306.6
2019-02-07,2706.05,40.89,121.53125,96.568,1310.11
2019-02-08,2707.88,41.08,121.640625,96.638,1314.29
2019-02-11,2709.8,40.82,121.484375,97.055,1308.12
2019-02-12,2744.73,41.51,121.234375,96.694,1310.8
2019-02-13,2753.03,42.16,121.078125,97.2,1306.27
2019-02-14,2745.73,42.8,121.46875,97.02,1312.57
2019-02-15,2775.6,44.01,121.359375,96.924,1322.49
2019-02-18,,44.09,,96.779,1326.89
2019-02-19,2779.76,44.05,121.609375,96.526,1340.94
2019-02-20,2784.7,44.54,121.53125,96.513,1338.44
2019-02-21,2774.88,44.38,121.15625,96.61,1323.63
2019-02-22,2792.67,44.36,121.4375,96.487,1329.4
2019-02-25,2796.11,42.93,121.421875,96.415,1327.58
2019-02-26,2793.9,43.52,121.609375,96.035,1328.96
2019-02-27,2792.38,43.91,121.296875,96.114,1319.86
2019-02-28,2784.49,43.77,120.96875,96.222,1313.32
2019-03-01,2803.69,42.92,120.671875,96.437,1293.44
2019-03-04,2792.81,43.29,120.890625,96.638,1286.74
2019-03-05,2789.65,43.3,120.90625,96.891,1288.01
2019-03-06,2771.45,43.54,121.140625,96.877,1286.36
2019-03-07,2748.93,43.64,121.59375,97.599,1285.61
2019-03-08,2743.07,43.46,121.71875,97.359,1298.3
2019-03-11,2783.3,44.0,121.65625,96.996,1293.35
2019-03-12,2791.52,44.12,121.890625,96.987,1301.58
2019-03-13,2810.92,44.67,121.71875,96.473,1309.12
2019-03-14,2808.48,44.36,121.703125,96.721,1296.17
2019-03-15,2822.48,44.26,121.984375,96.489,1302.4
2019-03-18,2832.94,44.53,121.84375,96.527,1303.71
2019-03-19,2832.57,44.71,121.75,96.41,1306.56
2019-03-20,2824.23,45.1,122.46875,95.919,1312.53
2019-03-21,2854.88,44.73,122.359375,96.345,1309.36
2019-03-22,2800.71,44.3,123.109375,96.545,1313.68
2019-03-25,2798.36,44.44,123.5,96.517,1321.9
2019-03-26,2818.46,44.93,123.3125,96.781,1315.71
2019-03-27,2805.37,44.79,123.703125,96.954,1309.55
2019-03-28,2815.44,44.9,123.390625,97.207,1290.42
2019-03-29,2834.4,45.16,123.25,97.211,1292.38
2019-04-01,2867.19,46.24,122.578125,97.338,1287.72
2019-04-02,2867.24,46.51,122.796875,97.306,1292.46
2019-04-03,2873.4,46.48,122.4375,97.091,1289.93
2019-04-04,2879.39,46.34,122.53125,97.293,1292.21
2019-04-05,2892.74,47.12,122.625,97.363,1291.76
2019-04-08,2895.77,47.53,122.453125,97.061,1297.48
2019-04-09,2878.2,47.35,122.609375,97.017,1304.1
2019-04-10,2888.21,47.85,122.859375,96.912,1307.99
2019-04-11,2888.32,47.45,122.609375,97.164,1292.52
2019-04-12,2907.41,47.83,122.046875,96.85,1290.43
2019-04-15,2905.58,47.67,122.15625,96.94,1287.95
2019-04-16,2907.06,48.04,121.859375,97.051,1276.79
2019-04-17,2900.45,47.89,121.84375,97.015,1273.98
2019-04-18,2905.03,48.14,122.125,97.428,1275.82
2019-04-19,,,,97.378,1275.52
2019-04-22,2907.97,49.64,121.953125,97.283,1274.99
2019-04-23,2933.68,49.71,122.171875,97.59,1272.42
2019-04-24,2927.25,49.79,122.53125,98.054,1275.76
2019-04-25,2926.17,49.69,122.40625,98.146,1277.17
2019-04-26,2939.88,47.85,122.703125,98.051,1286.16
2019-04-29,2943.03,48.11,122.515625,97.851,1279.9
2019-04-30,2945.83,48.66,122.703125,97.52,1283.53
2019-05-01,2923.73,48.92,122.625,97.616,1276.76
2019-05-02,2917.52,47.77,122.265625,97.834,1270.69
2019-05-03,2945.64,48.06,122.40625,97.478,1279.11
2019-05-06,2932.47,48.2,122.84375,97.554,1281.1
2019-05-07,2884.05,47.44,122.9375,97.553,1284.43
2019-05-08,2879.42,47.75,122.75,97.593,1280.88
2019-05-09,2870.72,47.75,123.0625,97.418,1284.08
2019-05-10,2881.4,48.11,122.875,97.323,1286.05
2019-05-13,2811.87,47.5,123.4375,97.35,1299.91
2019-05-14,2834.41,48.2,123.390625,97.515,1296.92
2019-05-15,2850.96,48.85,123.6875,97.555,1296.49
2019-05-16,2876.32,49.41,123.515625,97.825,1286.72
2019-05-17,2859.53,49.0,123.515625,98.013,1277.53
2019-05-20,2840.23,48.93,123.28125,97.93,1277.82
2019-05-21,2864.36,48.92,123.140625,98.019,1274.68
2019-05-22,2856.27,48.15,123.484375,98.087,1273.34
2019-05-23,2822.24,46.17,123.953125,97.853,1283.45
2019-05-24,2826.06,47.03,124.015625,97.608,1284.93
2019-05-27,,47.54,,97.734,1285.36
2019-05-28,2802.39,47.64,124.40625,97.942,1279.33
2019-05-29,2783.02,47.35,124.375,98.136,1279.78
2019-05-30,2788.86,45.26,124.765625,98.171,1288.65
2019-05-31,2752.06,43.78,125.515625,97.609,1305.58
2019-06-03,2744.45,43.17,126.0,97.218,1325.31
2019-06-04,2803.27,43.52,125.46875,97.122,1325.52
2019-06-05,2826.15,42.88,125.53125,97.302,1330.32
2019-06-06,2843.49,44.11,125.625,96.991,1335.33
2019-06-07,2873.34,44.82,125.890625,96.563,1340.86
2019-06-10,2886.73,44.17,125.359375,96.771,1327.98
2019-06-11,2885.72,43.99,125.421875,96.71,1326.84
2019-06-12,2879.84,42.37,125.703125,96.957,1333.58
2019-06-13,2891.64,43.48,125.96875,97.032,1342.31
2019-06-14,2886.98,43.97,126.0625,97.449,1341.7
2019-06-17,2889.67,43.19,125.875,97.529,1339.66
2019-06-18,2917.75,44.16,126.140625,97.636,1346.61
2019-06-19,2926.46,44.14,126.5,97.225,1360.38
2019-06-20,2954.18,45.86,126.421875,96.624,1388.44
2019-06-21,2950.46,46.32,126.25,96.093,1399.63
2019-06-24,2945.35,45.92,126.609375,96.002,1419.72
